Category,Industry (UI),Industry (CSVs)
Commercial Business,Commercial: Entertainment,Entertainment
Commercial Business,Commercial: Finance,Financial Services
Commercial Business,Commercial: Industrial,Industrial
Commercial Business,Commercial: Legal,Legal Services
Commercial Business,Commercial: Professional Services,Professional Services
Commercial Business,Commercial: Retail,Retail
Real Estate,CRE: Architecture,Real Estate (Architecture)
Real Estate,CRE: Development,Real Estate (Development)
Real Estate,CRE: Energy,Energy
Real Estate,CRE: Facilities,Real Estate (Facilities)
Real Estate,CRE: General,Real Estate
Real Estate,CRE: Investment,Real Estate (Investment)
Real Estate,CRE: Services,Real Estate (Services)
Health & Senior Care,Health: Medical,Healthcare
Health & Senior Care,Health: Senior Care,Senior Care
Public Sector,Public: Education,Education
Public Sector,Public: Government,Government
Public Sector,Public: NGO,Not For Profit
Technology,Tech: Hardware,Hardware
Technology,Tech: Software,Software
