Primary external org domain,Org name,FINAL
academycharterschool.org,Academy Charter School,Education
aldineisd.org,Aldine Independent School District,Education
algomau.ca,Algoma University,Education
arizona.edu,University of Arizona,Education
auhsd.us,Anaheim Union High School District,Education
boiseschools.org,Boise School District,Education
boisestate.edu,Boise State University,Education
brevardschools.org,Brevard Public Schools,Education
byu.edu,Brigham Young University,Education
cassville.k12.mo.us,Cassville R-IV School District,Education
ccps.us,Caroline County Public Schools,Education
ccsd.net,Clark County School District,Education
cde.ca.gov,California School for the Deaf-Fremont (State Special Schl),Education
colum.edu,Columbia College Chicago,Education
coolgreenschools.org,Cool Green Schools,Education
covenant.edu,Covenant College,Education
cpsed.net,Cranston PS - Arlington,Education
cpsed.net,Cranston Public Schools,Education
dematha.org,DeMatha Catholic High School,Education
desertsands.us,Desert Sands Unified School District,Education
durangoschools.org,Durango School District 9-R,Education
egusd.net,Elk Grove Unified School District,Education
elanpreschool.com,Elan Espirit - Milpitas,Education
emory.edu,Emory University,Education
epsnj.org,Elizabeth Public Schools,Education
erau.edu,Embry-Riddle Aeronautical University,Education
fpschools.org,Franklin Pierce School District,Education
gisd.k12.nm.us,Gadsden Independent School District,Education
greenwich.k12.ct.us,Greenwich Public Schools,Education
grps.org,Grand Rapids Public School District,Education
hcsb.k12.fl.us,Hernando School District,Education
houstonisd.org,Houston Independent School District,Education
humbleisd.net,Humble Independent School District,Education
hutsonville.k12.il.us,Hutsonville Cusd 1,Education
iss.k12.nc.us,Iredell-Statesville Schools,Education
jmu.edu,James Madison University,Education
kerrvilleisd.net,Kerrville Independent School District,Education
maine.edu,University of Maine,Education
mcsdonline.org,Muscatine Community School District,Education
miami.edu,University of Miami,Education
mishawaka.k12.in.us,Mishawaka High School,Education
msu.edu,Michigan State University,Education
mtviewschools.net,Mountain View School District,Education
munster.us,School Town of Munster,Education
orecity.k12.or.us,Oregon City School District,Education
osceolaschools.net,Osceola County School District,Education
pepperdine.edu,Pepperdine University,Education
pima.edu,Pima Community College - Tuscon,Education
plainfield.k12.nj.us,The Plainfield Public School District,Education
salemacademy.org,Salem Academy,Education
salinascityesd.org,Salinas City Elementary | Loma Vista,Education
salinascityesd.org,Salinas City Elementary | Mission Park,Education
sau43.org,Newport School District,Education
scsk12.org,Abston ES 797,Education
scsk12.org,Memphis-Shelby County School District,Education
springfield.k12.or.us,Springfield Public Schools (OR),Education
srcs.org,San Rafael High School,Education
stanford.edu,Stanford School of Med,Education
stanford.edu,Stanford University,Education
stocktonusd.net,Stockton Unified School District,Education
tessellations.school,Tessellations School,Education
troup.org,Troup County Schools,Education
umb.edu,University of Massachusetts Boston,Education
uml.edu,University of Massachusetts Lowell,Education
uoregon.edu,University of Oregon,Education
usc.edu,University of Southern California,Education
utrgv.edu,University of Texas - Rio Grande Valley,Education
uw.edu,University of Washington,Education
valverde.edu,Val Verde Unified School District,Education
williamsvillek12.org,Williamsville Central School District,Education
acuitybrands.com,Acuity Brands,Energy
albireoenergy.com,Albireo Energy,Energy
ameresco.com,Ameresco Inc,Energy
arup.com,ARUP,Energy
auersteel.com,AuerSteel,Energy
aurosgroup.com,Auros Group,Energy
carbonfish.net,Carbonfish,Energy
carrier.com,Carrier,Energy
clearesult.com,CLEAResult,Energy
cm3inc.com,CM3 Inc.,Energy
cmswa.com,Custom Mechanical Solutions (CMS),Energy
distech-controls.com,Distech Controls,Energy
echelonenergy.com,Echelon Energy,Energy
eip-hvac.com,Energy Improvement Products - EIP HVAC,Energy
energytechadvisors.com,EnergyTech Advisors LLC,Energy
evergy.com,Evergy,Energy
evolutionsg.com,Evolution Sustainability Group,Energy
faulknerhaynes.com,Faulkner Haynes,Energy
featsolutions.co,Feat Solutions,Energy
greenkoncepts.com,Green Koncepts,Energy
hobbsassociates.com,Hobbs & Associates,Energy
hoffman-hoffman.com,HTS New England,Energy
integratedcooling.com,Integrated Cooling Solutions (ICS),Energy
kildonanenergy.com,Kildonan Energy,Energy
lppfusion.com,Lppfusion,Energy
metrikus.io,Metrikus,Energy
newmatic.net,Newmatic Engineering,Energy
phoenixcontrols.com,Phoenix Controls,Energy
prescriptivedata.io,Nantum AI,Energy
rmhgroup.com,Rmh Group Inc,Energy
secureaire.com,SecureAire,Energy
syserco.com,Syserco,Energy
tecmungo.com,Temperature Equipment Corporation (TEC),Energy
trebellar.com,Trebellar,Energy
watsco.com,Watsco,Energy
celtics.com,Boston Celtics,Entertainment
cryptoarena.com,STAPLES CTR/Microsoft Theater,Entertainment
heat.com,Miami Heat,Entertainment
iluminate.com,iLuminate,Entertainment
kings.com,Sacramento Kings,Entertainment
lastminute.com,lastminute.com,Entertainment
netflix.com,Netflix,Entertainment
spe.sony.com,Sony Pictures Entertainment,Entertainment
